<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.30	09:30:00	2766.39	2769.43	2765.12	2769.13	5073	0	20
2025.01.30	10:00:00	2769.18	2772.92	2768.63	2772.47	4802	0	20
2025.01.30	10:30:00	2772.47	2776.40	2770.91	2776.04	4789	0	20
2025.01.30	11:00:00	2776.07	2776.16	2771.40	2775.19	5985	0	20
2025.01.30	11:30:00	2775.18	2775.88	2773.19	2774.22	5674	0	20
2025.01.30	12:00:00	2774.22	2779.01	2773.77	2777.82	5195	0	20
2025.01.30	12:30:00	2777.82	2779.10	2777.09	2778.23	3643	0	20
2025.01.30	13:00:00	2778.22	2779.26	2776.83	2778.13	3064	0	20
2025.01.30	13:30:00	2778.13	2779.38	2777.17	2777.59	4220	0	20
2025.01.30	14:00:00	2777.60	2779.21	2776.13	2778.55	5487	0	20
2025.01.30	14:30:00	2778.58	2781.13	2777.97	2780.20	5591	0	20
2025.01.30	15:00:00	2780.16	2783.04	2779.74	2780.61	7147	0	20
2025.01.30	15:30:00	2781.13	2785.97	2778.53	2785.76	10197	0	20
2025.01.30	16:00:00	2785.77	2788.14	2782.34	2786.86	8996	0	20
2025.01.30	16:30:00	2786.82	2788.87	2779.94	2787.52	10485	0	20
2025.01.30	17:00:00	2787.72	2790.97	2786.57	2789.72	9267	0	20
2025.01.30	17:30:00	2789.70	2796.65	2787.29	2795.46	8867	0	20
2025.01.30	18:00:00	2795.49	2798.53	2790.49	2791.41	10421	0	20
2025.01.30	18:30:00	2791.43	2794.48	2790.22	2790.50	9346	0	20
2025.01.30	19:00:00	2790.51	2792.11	2788.67	2791.21	8260	0	20
2025.01.30	19:30:00	2791.22	2795.85	2791.18	2795.53	7463	0	20
2025.01.30	20:00:00	2795.55	2797.01	2793.01	2794.72	5546	0	20
2025.01.30	20:30:00	2794.72	2795.75	2792.17	2795.00	3742	0	20
2025.01.30	21:00:00	2795.00	2795.23	2790.95	2791.31	4887	0	20
2025.01.30	21:30:00	2791.40	2793.67	2790.55	2793.44	2677	0	20
2025.01.30	22:00:00	2793.46	2795.32	2792.20	2794.64	3466	0	21
2025.01.30	22:30:00	2794.64	2798.08	2792.52	2795.52	7679	0	20
2025.01.30	23:00:00	2795.52	2798.33	2789.07	2791.23	3406	0	20
2025.01.30	23:30:00	2791.61	2794.49	2790.81	2793.73	2824	0	20
2025.01.31	01:00:00	2795.11	2795.11	2793.37	2794.57	592	0	20
2025.01.31	01:30:00	2794.55	2796.69	2792.65	2796.11	1953	0	20
2025.01.31	02:00:00	2796.17	2799.35	2795.12	2797.51	2757	0	20
2025.01.31	02:30:00	2797.52	2798.21	2794.37	2795.72	3015	0	20
