<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.04	18:30:00	2841.50	2842.17	2839.43	2840.42	3931	0	25
2025.02.04	19:00:00	2840.41	2843.22	2839.31	2842.80	4261	0	25
2025.02.04	19:30:00	2842.79	2844.67	2841.57	2843.90	4094	0	25
2025.02.04	20:00:00	2843.89	2844.76	2842.59	2843.66	3703	0	25
2025.02.04	20:30:00	2843.64	2844.91	2842.39	2842.61	3139	0	25
2025.02.04	21:00:00	2842.61	2843.99	2841.67	2842.33	2860	0	25
2025.02.04	21:30:00	2842.32	2844.08	2842.25	2843.01	3194	0	25
2025.02.04	22:00:00	2843.05	2844.01	2840.89	2841.74	2107	0	25
2025.02.04	22:30:00	2841.73	2844.78	2841.22	2844.25	2547	0	25
2025.02.04	23:00:00	2844.23	2844.72	2841.09	2841.76	1946	0	25
2025.02.04	23:30:00	2841.76	2842.51	2841.30	2842.06	1071	0	25
2025.02.05	01:00:00	2842.15	2842.23	2840.58	2840.86	620	0	25
2025.02.05	01:30:00	2840.84	2842.60	2840.82	2841.38	1122	0	25
2025.02.05	02:00:00	2841.52	2843.06	2840.77	2842.93	1238	0	25
2025.02.05	02:30:00	2842.92	2848.22	2842.74	2845.20	2543	0	25
2025.02.05	03:00:00	2845.18	2849.16	2842.83	2843.54	5789	0	25
2025.02.05	03:30:00	2843.54	2845.06	2839.71	2844.56	3955	0	25
2025.02.05	04:00:00	2844.63	2853.81	2844.07	2850.84	3707	0	25
2025.02.05	04:30:00	2850.84	2851.37	2847.78	2851.16	3276	0	25
2025.02.05	05:00:00	2851.16	2854.07	2849.77	2853.63	2821	0	25
2025.02.05	05:30:00	2853.63	2854.62	2851.81	2852.30	1910	0	25
2025.02.05	06:00:00	2852.24	2857.81	2851.83	2856.62	2063	0	25
2025.02.05	06:30:00	2856.62	2858.06	2854.93	2855.21	1363	0	25
2025.02.05	07:00:00	2855.18	2856.55	2853.71	2856.16	1746	0	25
2025.02.05	07:30:00	2856.16	2860.66	2855.50	2859.21	2364	0	25
2025.02.05	08:00:00	2859.20	2861.97	2857.21	2860.99	2348	0	25
2025.02.05	08:30:00	2861.07	2861.72	2859.29	2859.33	2019	0	25
2025.02.05	09:00:00	2859.31	2859.31	2854.92	2858.12	3414	0	25
2025.02.05	09:30:00	2858.14	2864.15	2857.50	2864.09	3368	0	25
2025.02.05	10:00:00	2864.05	2866.47	2863.61	2865.44	3432	0	25
2025.02.05	10:30:00	2865.47	2869.62	2864.63	2867.60	3257	0	25
2025.02.05	11:00:00	2867.59	2870.39	2865.32	2869.24	3197	0	25
2025.02.05	11:30:00	2869.24	2872.09	2869.11	2870.26	2410	0	25
2025.02.05	12:00:00	2870.34	2872.28	2869.46	2871.95	2567	0	25
2025.02.05	12:30:00	2871.94	2876.97	2865.99	2867.78	3774	0	25
2025.02.05	13:00:00	2867.76	2869.87	2864.70	2869.38	3644	0	25
2025.02.05	13:30:00	2869.36	2870.40	2868.10	2868.66	3053	0	25
2025.02.05	14:00:00	2868.66	2870.15	2867.69	2869.19	2754	0	25
2025.02.05	14:30:00	2869.16	2870.87	2867.04	2870.19	2920	0	25
2025.02.05	15:00:00	2870.19	2870.62	2864.64	2865.92	5312	0	25
2025.02.05	15:30:00	2865.76	2867.11	2858.52	2861.75	5633	0	25
2025.02.05	16:00:00	2861.76	2865.65	2860.64	2864.89	4929	0	25
2025.02.05	16:30:00	2864.64	2872.61	2864.18	2870.81	5966	0	25
2025.02.05	17:00:00	2870.81	2877.44	2870.81	2876.55	6077	0	25
2025.02.05	17:30:00	2876.60	2882.19	2873.78	2880.08	5392	0	25
2025.02.05	18:00:00	2880.08	2880.97	2863.10	2869.25	6244	0	25
2025.02.05	18:30:00	2869.24	2875.34	2866.53	2874.92	4058	0	25
2025.02.05	19:00:00	2874.96	2876.56	2871.58	2872.70	3802	0	25
2025.02.05	19:30:00	2872.72	2873.91	2871.38	2873.01	2884	0	25
2025.02.05	20:00:00	2873.02	2873.44	2866.05	2870.35	3390	0	25
2025.02.05	20:30:00	2870.41	2871.04	2863.92	2865.68	3279	0	25
2025.02.05	21:00:00	2865.81	2868.72	2862.79	2866.97	3134	0	25
2025.02.05	21:30:00	2866.97	2868.93	2862.94	2863.52	2884	0	25
2025.02.05	22:00:00	2863.54	2864.84	2862.24	2864.73	2800	0	25
2025.02.05	22:30:00	2864.74	2866.09	2859.84	2862.54	3362	0	25
2025.02.05	23:00:00	2862.47	2863.27	2861.12	2863.20	1108	0	25
2025.02.05	23:30:00	2863.18	2867.20	2862.10	2867.19	1052	0	25
2025.02.06	01:00:00	2865.11	2870.32	2862.60	2868.47	1092	0	25
2025.02.06	01:30:00	2868.47	2870.79	2867.39	2869.09	1068	0	25
2025.02.06	02:00:00	2869.09	2869.90	2867.20	2867.66	1257	0	25
2025.02.06	02:30:00	2867.66	2869.81	2867.28	2869.75	1052	0	25
2025.02.06	03:00:00	2869.72	2870.61	2863.63	2865.67	3335	0	25
